hanyu,pinyin,meanings_ru,total_stroke_count,radical,classifiers,categories,frequency
爱,ài,любить,10,爪;爫,,,51
八,bā,восемь,2,八,,числа,128
爸爸,bà ba,папа,16,,个;位,роли,65
杯子,bēi zi,стакан; кружка,11,,个;支,посуда,146
北京,běi jīng,Пекин,13,,,места,149
本,běn,источник,5,木,,счетное слово,92
不客气,bú kè qi,не за что (ответ на благодарность),17,,,,126
不,bù,не; нет,4,一,,,6
菜,cài,блюдо; кухня,11,艸;艹,盘;道,"еда, питье",131
茶,chá,чай,9,艸;艹,杯;壶,"еда, питье",135
吃,chī,есть (кушать),6,口,,"еда, питье",57
出租车,chū zū chē,такси,19,,,техника,133
打电话,dǎ diàn huà,звонить,18,,,,86
大,dà,большой; великий; глубокий; старший,3,大,,,47
的,de,(родительный падеж),8,白,,,1
点,diǎn,немного; капля; N часов,9,火;灬,,время,35
电脑,diàn nǎo,компьютер,15,,台,техника,120
电视,diàn shì,телевизор,13,,台;个,техника,110
电影,diàn yǐng,фильм,20,,部;幕;场,,102
东西,dōng xi,вещь; штука; предмет,11,,个;件,,48
都,dōu,все; оба; уже,10,邑;阝,,,24
读,dú,читать; произношение слова,10,讠,,,111
对不起,duì bu qǐ,прошу прощения,19,,,,68
多,duō,много,6,夕,,,41
多少,duō shǎo,сколько,10,,,,95
儿子,ér zi,сын,5,,,роли,88
二,èr,два; глупый (Пекинский диалект),2,二,,числа,109
饭店,fàn diàn,ресторан; отель,15,,家;个,"места;еда, питье",142
飞机,fēi jī,самолёт,9,,架,техника,108
分钟,fēn zhōng,минута,13,,,время,90
高兴,gāo xìng,рад; счастлив,16,,,,71
个,gè,этот; индивидуальный; общее счетное слово,3,丨,,счетное слово,25
工作,gōng zuò,работа; задача,10,,个;份;项,,55
狗,gǒu,пёс,8,犬;犭,只;条,животные,83
汉语,hàn yǔ,Китайский язык,14,,,,150
好,hǎo,хорошо; правильно; легко,6,女,,,10
号,hào,день месяца; номер,5,口,,время,82
喝,hē,пить; кричать (команду),12,口,,,79
和,hé,и; вместе с; гармония; мир,8,口,,,28
很,hěn,очень; довольно,9,彳,,,20
后面,hòu miàn,зад; сзади; потом; после,15,,,,112
回,huí,вернуться назад; ответить,6,囗,,,54
会,huì,может быть; встретиться; группа,6,人;亻,,,13
几,jǐ,сколько; несколько; немного,2,几,,,64
家,jiā,дом; семья,10,宀,个,места,59
叫,jiào,звонить; кричать; приказывать; просить,5,口,,,50
今天,jīn tiān,сегодня,8,,,время,63
九,jiǔ,девять,2,乙;乚,,числа,136
开,kāi,открыть; начать; включить,4,廾,,,58
看,kàn,смотреть на,9,目,,,32
看见,kàn jiàn,видеть,13,,,,85
块,kuài,кусочек; валюта,7,土,,счетное слово,96
来,lái,прийти; прибыть; следующий,7,木,,,23
老师,lǎo shī,учитель,12,,个;位,роли,116
了,le,(маркер завершенного действия),2,亅;了,,,5
冷,lěng,холодный; холодно,7,冫,,ощущения,125
里,lǐ,внутри; внутренний,7,里,,,38
六,liù,шесть,4,八,,числа,115
吗,ma,(вопросительная частица),6,口,,,14
妈妈,mā ma,мама,12,,个;位,роли,62
买,mǎi,купить,6,乙;乚,,,72
猫,māo,кот,11,犬;犭,只,животные,119
没关系,méi guān xi,это не важно,20,,,,107
没有,méi yǒu,не существует; не иметь; (частица 'не'),13,,,,31
米饭,mǐ fàn,(приготовленный) рис,13,,,"еда, питье",148
名字,míng zi,имя (человека или предмета),12,,个,,76
明天,míng tiān,завтра,12,,,время,93
哪,nǎ,который?,9,口,,,60
哪儿,nǎ er,где?; где угодно,11,,,,74
那,nà,тот; те; в таком случае,6,邑;阝,,,22
呢,ne,"(вопросительная частица для субъектов, о которых уже говорили)",8,口,,,36
能,néng,мочь; возможность,10,肉;月,,,26
你,nǐ,ты (неформальное),7,人;亻,,,3
年,nián,год,6,干,个,время,52
女儿,nǚ ér,дочь,5,,,роли,97
朋友,péng you,друг,12,,个;位,роли,61
漂亮,piào liang,красивая (по отношению к женщине),23,,,,89
苹果,píng guǒ,яблоко,16,,个颗,фрукты,141
七,qī,семь,2,一,,числа,130
前面,qián miàn,спереди; выше,18,,,,127
钱,qián,монета; деньги,10,钅,笔,,56
请,qǐng,просить; пригласить; пожалуйста (сделайте что-то),10,讠,,,53
去,qù,идти; убрать; избавиться,5,厶,,,27
热,rè,тепло; нагревать; жарко,10,火;灬,,,121
人,rén,человек,2,人;亻,个;位,роли,21
认识,rèn shi,знать; узнать; знание; понимание,11,,,,77
三,sān,три,3,一,,числа,70
商店,shāng diàn,магазин,19,,家;个,места,137
上,shàng,на; вверх,3,一,,,30
上午,shàng wǔ,утро,7,,个,время,144
少,shǎo,немного,4,小,,,94
谁,shéi,кто,10,讠,,,40
什么,shén me,что?; кто?; что-то; что угодно,7,,,,15
十,shí,десять,2,十,,числа,118
时候,shí hou,время; момент,17,,,,42
是,shì,да; быть,9,日,,,4
书,shū,книга; письмо,4,乙;乚,本;册;部,,103
水,shuǐ,вода; река; жидкость; напиток,4,水;氵,,,100
水果,shuǐguǒ,фрукт,12,,,,145
睡觉,shuì jiào,идти спать,22,,,,114
说,shuō,говорить; сказать; объяснить,9,讠,,,16
四,sì,четыре,5,囗,,числа,104
岁,suì,возраст,6,山,,счетное слово,84
他,tā,он,5,人;亻,,,8
她,tā,она,6,女,,,17
太,tài,слишком,4,大,,,37
天气,tiān qì,погода,8,,,,134
听,tīng,слышать; слушать; слушаться; консервная банка,7,口,,,39
同学,tóng xué,одноклассник,14,,位;个,роли,139
喂,wèi,привет (по телефону); хэй,12,口,,,87
我,wǒ,я,7,戈,,,2
我们,wǒ men,мы,12,,,,9
五,wǔ,пять,4,二,,числа,105
喜欢,xǐ huan,нравиться,18,,,,46
下,xià,вниз; ниже; под; позже; следующий (неделя и т.д.); вторая (из двух частей); отклонить,3,一,,,43
下午,xià wǔ,после полудня,7,,个,время,123
下雨,xià yǔ,дождь идёт,11,,,,147
先生,xiān sheng,мистер; муж; доктор; учитель,11,,个;位,,45
现在,xiàn zài,сейчас; текущий,14,,,время,34
想,xiǎng,думать; верить; предполагать; желать; хотеть; скучать по,13,心;忄,,,18
小,xiǎo,маленький; молодой,3,小,,,49
小姐,xiǎo jie,молодая девушка; мисс,11,,个;位,,98
些,xiē,некоторые; немного,8,二,,счетное слово,66
写,xiě,писать,5,冖,,,80
谢谢,xiè xie,благодарить; спасибо,24,,,,44
星期,xīng qī,неделя,21,,个,время,117
学生,xué sheng,ученик; школьник,13,,,роли,122
学习,xué xí,учить; обучаться,11,,,,124
学校,xué xiào,школа,18,,所,места,101
一,yī,один; весь; (неопределенный артикль),1,一,,числа,19
一点儿,yī diǎn er,немного,12,,,,140
医生,yī shēng,доктор,12,,个;位;名,роли,73
医院,yī yuàn,больница,16,,所;家;座,места,106
衣服,yī fu,одежда,14,,件;套,,99
椅子,yǐ zi,стул;,15,,把;套,мебель,138
有,yǒu,иметь; есть,6,月,,,11
月,yuè,месяц; луна,4,月,个;轮,время,81
再见,zài jiàn,пока; увидимся позже,10,,,,91
在,zài,"на; в; существовать; (действие, происходящее сейчас)",6,土,,,7
怎么,zěn me,как?; что?; почему?,12,,,,33
怎么样,zěn me yàng,как дела? как насчет?,22,,,,67
这,zhè,этот; эти,7,辵;辶,,,12
中国,zhōng guó,Китай,12,,,места,129
中午,zhōng wǔ,полдень,8,,个,время,143
住,zhù,жить; обитать; останавливаться,7,人;亻,,,69
桌子,zhuō zi,стол,13,,张;套,мебель,132
字,zì,буква; иероглиф; слово; символ,6,子;孑,个,,75
昨天,zuó tiān,вчера,13,,,время,113
做,zuò,делать; производить; изготавливать; стать; служить (чем-то); притворяться,11,人;亻,,,29
坐,zuò,"сидеть; садиться (в автобус, в самолет)",7,土,,,78
